NUMERO_REGISTRO_PRODUTO,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,ND,MSIS,QuantileLoss_median,Coverage_median,Modelo,Tipo,RMSE,NRMSE,wQuantileLoss_median,mean_absolute_QuantileLoss,mean_wQuantileLoss,MAE_Coverage,OWA,Avaliacao
110130269,43.29629629629628,19.0,19.0,6.333333333333332,16.5,0.3838383838383838,2.3,0.9694736842105264,1.0,15.353535353535351,19.0,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110130275,72.62962962962969,16.333333333333336,63.0,21.0,19.375,0.2810035842293908,0.4623655913978496,0.2841186736474695,0.2592592592592593,11.240143369175632,16.333333333333336,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110130281,65.07407407407408,21.0,71.0,23.66666666666667,10.625,0.6588235294117646,0.4658925592258926,0.3553632337569455,0.2957746478873239,26.352941176470583,21.0,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110220004,111.74074074074076,29.00000000000001,63.0,21.0,20.125,0.4803312629399588,2.3870851370851374,0.7076777904803384,0.4603174603174604,19.213250517598354,29.00000000000001,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110220013,65.25925925925925,20.666666666666664,33.0,11.0,10.875,0.6334610472541506,1.7026455026455023,0.7202348478944223,0.6262626262626262,25.33844189016603,20.666666666666664,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110330007,163.85185185185176,31.999999999999996,40.0,13.333333333333336,10.375,1.0281124497991965,0.2847222222222222,0.9015873015873016,0.7999999999999998,41.12449799196785,31.999999999999996,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110330019,248.5185185185186,40.66666666666667,116.0,38.66666666666666,10.0,1.3555555555555556,0.3239430468204053,0.38095475300954745,0.3505747126436782,54.22222222222222,40.66666666666667,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110360019,74.48148148148148,22.33333333333333,58.0,19.33333333333333,9.0,0.8271604938271603,0.4404275599128539,0.3994147628470348,0.3850574712643677,33.08641975308641,22.33333333333333,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110360026,255.22222222222214,38.33333333333333,56.0,18.666666666666668,13.0,0.9829059829059827,8.925185185185184,0.7738295659256456,0.6845238095238094,39.3162393162393,38.33333333333333,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110390044,58.1111111111111,16.999999999999996,40.0,13.333333333333336,11.0,0.515151515151515,0.5900025900025899,0.4871706718923688,0.4249999999999999,20.606060606060602,16.999999999999996,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
